epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18024.5,1.57585,1.55708,1.45053,0.61426,0.54076,0.57257,0.31589,1.68303,1.56703,1.51278,0.005842,0.005842,0.005842
44,18442.2,1.57194,1.53743,1.44559,0.61842,0.54164,0.57227,0.31614,1.68166,1.56518,1.51208,0.005743,0.005743,0.005743
45,18860.3,1.56587,1.53279,1.44437,0.62192,0.54702,0.57256,0.31755,1.68199,1.56451,1.51163,0.005644,0.005644,0.005644
46,19277.4,1.56202,1.52953,1.44017,0.62242,0.55054,0.57321,0.3183,1.68191,1.56303,1.51133,0.005545,0.005545,0.005545
47,19695,1.56134,1.52105,1.43274,0.62915,0.5549,0.57479,0.31863,1.68159,1.56032,1.51066,0.005446,0.005446,0.005446
48,20113.6,1.55514,1.51706,1.43917,0.61128,0.56176,0.57434,0.31958,1.6813,1.55757,1.51062,0.005347,0.005347,0.005347
49,20532.6,1.54999,1.50087,1.43261,0.61422,0.56108,0.57402,0.3188,1.68065,1.55654,1.51018,0.005248,0.005248,0.005248
50,20950.4,1.55111,1.49723,1.43029,0.60915,0.56429,0.57247,0.31772,1.68072,1.55512,1.50983,0.005149,0.005149,0.005149
51,21373.2,1.5414,1.47356,1.42236,0.59736,0.57182,0.57526,0.31885,1.68166,1.55186,1.51007,0.00505,0.00505,0.00505
52,21789.6,1.53856,1.47769,1.42824,0.59866,0.57526,0.5733,0.32023,1.68297,1.54961,1.51073,0.004951,0.004951,0.004951
53,22213.6,1.54094,1.47279,1.4173,0.60271,0.57353,0.5739,0.32043,1.68338,1.54773,1.5099,0.004852,0.004852,0.004852
54,22634,1.53589,1.44722,1.41537,0.5998,0.57464,0.57451,0.32236,1.68392,1.54759,1.50979,0.004753,0.004753,0.004753
55,23048.9,1.53796,1.4533,1.41898,0.61173,0.57032,0.5767,0.32239,1.68421,1.54558,1.50978,0.004654,0.004654,0.004654
56,23463.6,1.5285,1.44016,1.4119,0.60527,0.56848,0.5768,0.3222,1.68418,1.54442,1.50937,0.004555,0.004555,0.004555
57,23878,1.52064,1.4334,1.40757,0.61367,0.56769,0.57664,0.32109,1.68445,1.54319,1.50962,0.004456,0.004456,0.004456
58,24293.6,1.51682,1.42048,1.40436,0.63079,0.56222,0.57757,0.32105,1.68553,1.54177,1.51004,0.004357,0.004357,0.004357
59,24709.2,1.51417,1.40557,1.40197,0.63357,0.55751,0.57758,0.32301,1.68594,1.54078,1.51042,0.004258,0.004258,0.004258
60,25125.1,1.5087,1.3985,1.39772,0.62327,0.54991,0.5753,0.32157,1.68661,1.53896,1.51084,0.004159,0.004159,0.004159
61,25540.2,1.50241,1.39586,1.39637,0.62443,0.54907,0.57529,0.32162,1.68754,1.53807,1.511,0.00406,0.00406,0.00406
62,25955.8,1.49629,1.38934,1.39054,0.63201,0.54869,0.5758,0.32027,1.68798,1.53723,1.51132,0.003961,0.003961,0.003961
63,26370.9,1.49706,1.37851,1.38997,0.62924,0.55058,0.5781,0.3223,1.68783,1.53581,1.51082,0.003862,0.003862,0.003862
